질병명,식사요법의 필요성,식사요법의 실제,권장 식품,주의 식품,그 외 주의사항
후두암식,"후두암 진단 이후 치료를 받기위해 충분한 영양공급을 통해 암 치료를 돕고 부작용을 최소화 하기위해 식사요법이 필요합니다.후두암의 치료는 병기나 종류에 따라 다르며 크게 수술적치료, 항암치료, 방사선치료 등이 사용됩니다. 따라서 각 치료방법을 이해하고 치료에 따르는 부작용으로 인한 영양문제의 대처방법을 숙지하여 영양불량이 되지않도록 합니다.","암을 치료하는 특별한 식품이나 영양소는 없으며 균형잡힌 식사로 좋은 영양상태를 유지하는것이 중요합니다. 그러기 위해서는 충분한 에너지와 단백질, 비타민 및 무기질을 공급할 수 있는 식사를 섭취해야 하며, 이는 여러가지 음식을 골고루 먹음으로써 가능합니다.암환자의 일반적인 식사지침1. 아침,점심,저녁을 규칙적으로 섭취하고 반찬은 골고루 먹습니다.2. 매끼 단백질 반찬을 꼭 먹습니다.(고기, 생선이 싫다면 대신 달걀, 두부, 콩, 치즈 등을 먹습니다.)3. 채소반찬은 매끼 2가지 이상 충분히 먹습니다.(씹기 힘든 경우나 삼키기 힘든 경우에는 다지거나 갈아서 먹습니다.)4. 과일은 하루 1~2번, 1가지 이상 먹습니다.(면역력이 저하된 경우 잘 씻어 껍질을 제거하거나 통조림, 주스로 먹습니다.)5. 유제품을 하루 1컵 마십니다.(우유가 맞지 않을 경우에는 요쿠르트, 두유, 치즈, 아이스크림으로 대체합니다.)6. 밥은 매끼 1그릇정도 먹습니다.(밥 섭취가 어려울 경우 죽, 빵, 크래커, 떡, 감자, 고구마, 국수, 미숫가루 등으로 대체하며, 밥 섭취량이 적을 경우에는 간식으로 보충합니다.)7. 열량보충이 필요하다면 식물성 기름과 견과류를 충분히 사용합니다.8. 양념과 조미료는 적당히 사용합니다.","현미, 보리, 서리태와 같은 잡곡 및 두류파프리카, 당근, 단호박, 양배추, 케일, 가지등의 다양한 색의 채소, 과일류","술, 비위생적인 식품, 가공식품, 탄 음식","환자의 질환과 치료상태에 따라 식사요법의 원칙이 달라질수 있으므로 의료진, 영양전문가와 상의합니다.항암-방사선 병용요법으로 치료를 받은경우 충분한 열량과 단백질(고기, 생선, 콩, 두부, 계란, 해물)을 섭취하여 체중이 감소되지 않도록 주의하며 필요에 따라 상업용 영양보충음료를 병행하도록 합니다. 절대적으로 금연합니다."
화상식,"화상 환자는 대사항진으로 체단백의 이화작용과 요 질소 배설이 증가되며, 단백질과 체액의 손실이 증가하여 수분 및 전해질의 불균형을 초래할 수 있어 충분한 열량과 단백질 공급이 필요합니다","1. 회복을 위해 충분한 에너지, 단백질 반찬을 섭취합니다.2. 식사를 규칙적으로 하며 편식하지 말고 골고루 섭취합니다.3. 질이 좋은 단백질 식품(고기, 생선, 두부 등)을 끼마다 충분히 섭취합니다.4. 신선한 채소 및 과일을 충분히 섭취합니다.5. 지나치게 단 음식은 피합니다.6. 수분을 충분히 섭취합니다.(2L/day)","곡류(쌀밥, 잡곡밥, 감자, 고구마, 떡 등),육류(살코기), 어류(생선, 조개류 등), 두부, 콩, 달걀, 신선한 채소, 견과류(땅콩, 호두, 잣 등), 신선한 과일, 유제품(우유, 두유, 요구르트, 요거트, 저지방우유)","단순당(사탕,설탕, 젤리, 물엿), 당분이 첨가된 음료수(콜라,사이다), 통조림 과일,  주류(소주, 맥주, 막걸리 등)","1. 식사섭취량이 충분치 않을 경우 필요시 칼슘, 비타민E, 비타민A, 아연 등을 보충합니다.2. 대사적 스트레스로 인한 고혈당을 악화시킬 수 있어 과다한 단음식은 피합니다."
호모시스틴뇨증식,"호모시스틴 대사에 필요한 효소 결핍으로 메티오닌이 과다생성됨으로써 나타날 수 있는 여러가지 합병증을 예방하고, 정상적인 성장과 발달을 도모하기 위해 식사요법이 필요합니다.","1. 메티오닌이 제거된 특수분유(예. 메티오닌 프리 분유, Hominex)와 일반분유를 혼합하여 수유합니다.2. 분유량은 반드시 정확하게 계량하여 먹입니다.3. 성장에 따라 영양 요구량이 달라지므로 주기적으로 영양상담을 받도록 합니다.","곡류, 채소류, 과일류, 식물성 기름","콩 및 두부류, 고기, 생선류 등 단백질을 많이 함유한 식품","처방된 분유를 전량 먹이지 못하고 지속적으로 남기게 되면 필수영양소 결핍, 성장지연 등의 결과를 초래할 수 있습니다."
협심증식,협심증은 심장에 산소와 영양을 공급하는 관상동맥이 좁아져 정상적인 혈액공급이 방해받는 상태로 심한 가슴통증을 유발하게 됩니다. 주된 원인은 혈관 속의 지방 축적이므로 정상 체중을 유지하고 비만인 경우는 체중을 감소시키는 것이 꼭 필요합니다.,"1. 밥은 현미, 보리 등을 섞은 잡곡밥이 좋으며 기호에 따라 적정량 혼식합니다. 단, 입맛에 맞지 않을 경우 무리하게 잡곡밥을 고집하지 말고 쌀밥을 섭취합니다.2. 고기, 두부, 생선 등의 단백질 반찬도 골고루 섭취하되 고기는 기름기와 껍질을 제거한 살코기로 섭취합니다.3. 채소찬은 제철 채소를 이용하여 싱겁게 조리하되 장아찌, 김치 등의 염장식품은 지양합니다.4. 간식은 정규 식사 사이에 제철 과일과 우유로 섭취합니다.5. 전체적인 조리 방법은 지방 섭취를 줄이기 위해 튀기거나 부치는 대신 굽기, 찜, 삶는 방법을 주로 선택하나 맛을 내기 위해 적당량의 식물성기름(참기름, 들기름 등)은 사용합니다.6. 또한 염분량은 소금을 기준으로 1일 6g만 추가하도록 합니다.7. 저염식 적응을 위해 조리 시 미리 염분을 넣는 것보다 무염 조리 후 따로 분량의 저염 소스를 곁들이는 것이 더욱 효과적입니다.","신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사","고지방 어육류 : 갈비, 삼겹살, 육류의 껍질과 기름, 장어, 햄류고콜레스테롤 식품 : 내장류, 새우, 오징어, 계란노른자기름진 음식 : 탕류, 중국음식, 튀김류, 전류염장 식품 : 김치류, 젓갈류, 장아찌류, 건어물 및 자반 생선류가공식품 : 햄류, 통조림류, 라면국물류 : 국, 찌개","소량씩 자주 먹습니다.상태에 따라 포화지방산, 콜레스테롤, 염분 섭취를 제한합니다.섬유소 섭취를 점차로 증가시키며 이때 수분도 부족하지 않게 섭취합니다.카페인 섭취를 줄입니다.과체중인 경우 열량제한식을 병행합니다."
허혈성심장질환식,"심장질환 시 식사요법은 크게 3가지로 나누어 생각할 수 있습니다.[콜레스테롤에 대한 식사요법]혈액내 콜레스테롤의 ⅔ ~ ¾ 정도는 몸 안에서 형성된 것으로 식사를 변화시킴으로써 감소시킬 수 있습니다. 보통 콜레스테롤의 1일 섭취량을 100㎎ 이하로 줄이는 경우에는 현저한 콜레스테롤의 감소가 생기지만 사실상 실천이 불가능하며, 1일 섭취량을 300㎎정도로 유지하면 혈액내의 콜레스테롤 양이 10%정도 감소합니다.콜레스테롤은 주로 계란노른자, 오징어, 새우 그리고 기름진 생선 등에 많으며 육류의 기름에도 많이 함유되어 있습니다. 따라서 콜레스테롤 수치가 높을 경우 월 2~3회 정도로 고콜레스테롤 함유 식품 섭취를 줄이고 육류 섭취 시 껍질과 기름기를 제거한 살코기로 섭취해야 합니다.[저염식]보통 한국인은 1일 20g 이상의 소금을 섭취하나 실제로 꼭 필요한 양은 5g 이하이므로 고혈압 치료를 목표로 할 때는 소금의 섭취를 절대적으로 줄여야 합니다.실제로 소금의 섭취를 줄이는 방법은 식성을 변화시키고자 하는 노력이 중요합니다. 조리를 할 때 차츰 차츰 첨가되는 소금을 줄이고 소금 성분이 많은 양념이나 조미료 등도 주의해야 합니다. 그리고 한국인 식습관의 특징인 국이나 찌개 국물 그리고 염장식품 섭취를 지양함으로써 소금 섭취를 줄이는 것이 중요합니다.[비만의 개선을 위한 식사요법]체중이 증가한다는 것은 소모 열량보다 섭취 열량이 과다하다는 것을 의미합니다. 이상적인 체중 감량은 1달에 2㎏ 정도 감량하는 것인데 이를 위해서는 하루에 500kcal씩 적게 먹든지, 아니면 500kcal씩 더 열량을 소비해야 가능합니다.하지만 섭취량에는 식사 뿐 아니라 간식이나 술의 영향이 더욱 큰 문제가 될 수 있으며 식사 감량만으로는 체중 감소의 속도가 떨어지거나 다시 체중이 증가될 수 있으므로, 운동을 병행하는 것이 더욱 효과적입니다. 따라서 체중 감소 시 전문가와의 상담을 통해 실천하는 것이 중요합니다.","1. 밥은 현미, 보리 등을 섞은 잡곡밥이 좋으며 기호에 따라 적정량 혼식합니다. 단, 입맛에 맞지 않을 경우 무리하게 잡곡밥을 고집하지 말고 쌀밥을 섭취합니다.2. 고기, 두부, 생선 등의 단백질 반찬도 골고루 섭취하되 고기는 기름기와 껍질을 제거한 살코기로 섭취합니다.3. 채소찬은 제철 채소를 이용하여 싱겁게 조리하되 장아찌, 김치 등의 염장식품은 지양합니다.4. 간식은 정규 식사 사이에 제철 과일과 우유로 섭취합니다.5. 전체적인 조리 방법은 지방 섭취를 줄이기 위해 튀기거나 부치는 대신 굽기, 찜, 삶는 방법을 주로 선택하나 맛을 내기 위해 적당량의 식물성기름(참기름, 들기름 등)은 사용합니다.6. 저염식 적응을 위해 조리 시 미리 염분을 넣는 것보다 무염 조리 후 따로 분량의 저염 소스를 곁들이는 것이 더욱 효과적입니다.7. 콜레스테롤이 높은 식품은 월 2~3회로 줄여서 섭취합니다.","신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사","고지방 어육류 : 갈비, 삼겹살, 육류의 껍질과 기름, 장어, 햄류고콜레스테롤 식품 : 내장류, 새우, 오징어, 계란노른자기름진 음식 : 탕류, 중국음식, 튀김류, 전류염장 식품 - 김치류, 젓갈류, 장아찌류, 건어물 및 자반 생선류가공식품 - 햄류, 통조림류, 라면국, 찌개 국물류","오메가-3 지방산은 에이코사펜타엔산(EPA), 도코사헥사엔산(DHA) 등으로 주로 생선기름에 많이 포함되어 있습니다.생선을 많이 먹는 알래스카 원주민에서 심혈관계 질환의 사망률이 낮은 것이 관찰되었고 이후 오메가-3의 효능에 대한 많은 연구들에서 오메가-3가 심혈관계 사망률을 낮춘다는 결과를 보고하였습니다. 오메가-3는 혈소판 응집과 염증반응을 감소시키고, 혈중 중성지방의 농도를 감소시키고, 심박수와 혈압을 강하시켜 심혈관계 질환으로 인한 사망을 감소시키는 것으로 생각되고 있습니다."
항문암식,"수술 직후 회복을 위한 충분한 열량과 단백질을 섭취하도록 하며, 수술 후 약 6주 정도 섬유질 섭취를 줄여 대변 양 조절과 폐색 등의 위험을 최소화 합니다.","1. 고섬유질 식품 섭취를 줄입니다. (잡곡류, 채소 및 해조류, 과일류, 견과류 등)2. 양질의 단백질 식품을 충분히 섭취합니다.3. 자극성이 강한 향신료나 조미료는 피합니다.4. 충분한 수분섭취를 합니다.(kg당 30cc)","수술직후 : 쌀밥, 흰국수, 생선, 계란, 두부, 육류(결체조직 및 껍질 제외), 유제품","수술직후 : 잡곡, 질긴 채소, 건조 과일과 껍질, 씨앗, 견과류, 자극성 식품","1. 수술 직후 약 6주간 고섬유식품 섭취를 줄이도록 합니다.2. 수술 부위, 장루의 유무에 따른 식사요법이 필요합니다. (저잔사식)3. 수술 후 2달뒤 정상식사 시 충분한 섬유소 섭취가 권장됩니다."
"프로피온산혈증, 프로피온산증","발린, 이소로이신, 메치오닌, 스레오닌과 같은 아미노산의 대사에 관여하는 propionyl CoA carboxylase라는 효소의 장애로 프로피오닌산이 축적되어 뇌손상, 혈액의 산성화, 암모니아의 증가 등을 초래합니다. 상염색체열성유전을 하며 발생빈도는 100,000명중 한 명입니다.장기적으로는 고탄수화물 식이와, 이소로이신, 발린, 메치오닌, 스레오닌이라는 아미노산을 작은 양으로 제한한 식이를 합니다. 이들 아미노산이 없는 특수분유제제와 일반식이를 혼합하여 식이요법을 합니다.","1. 루이신, 이소루이신, 발린, 메티오닌, 트레오닌 등 프로피온산의 전구물질이 될 수 있는 아미노산을 제거한 특수분유를 사용합니다.2. 국내에서 생산되는 특수분유는 MPA 1 과 2가 있으며 MPA 2는 1에 비해 열량이 적은 대신 단백질 함량이 두배이고, 다른 영양소들은 비슷하게 함유하고 있어 식사량이 충분한 소아청소년기에 처방하기에 적절합니다.3. 발린이 가장 중요한 아미노산이므로 발린의 섭취를 기준으로 식이요법을 실시하며, 다른 아미노산들은 적당한 비율로 조절합니다. 제한되는 아미노산들은 필수 아미노산이므로 분유만 섭취하는 영아의 경우, 반드시 일반분유를 특수분유와 함께 처방받아 먹여야 필수 아미노산 결핍증을 막을 수 있습니다.4. 아이가 나이가 들면서 식사를 잘하게 되면 일반분유는 필요하지 않게 되며, MPA 2 분유로 바꾸어 먹을 수 있습니다.         5. 후기 발병형의 환자들은 아미노산의 투여를 잘 견딜 수 있고, 발린의 섭취까지 계산하지 않고 단백질의 섭취량을 계산하는 정도로도 치료할 수 있으므로 훨씬 쉽다고 할 수 있습니다.","쌀, 고구마, 감자 등 탄수화물 식품과 식물성 기름, 버터류, 모든 채소와 과일류","쇠고기, 돼지고기, 닭고기, 생선 및 가공품, 우유 및 유제품 등 발린 함량이 높은 식품들","여러가지 감염, 예방접종, 외상, 마취 및 수술과 같은 상황이 발생하면 단백질 섭취를 제한하고 탄수화물 섭취를 늘리는 것이 필요합니다. 이러한 상황들의 일부는 예측이 가능하며, 환자의 질병 종류와 대사 상태에 따라서 식이요법을 조정할 필요가 있습니다. 하지만 감염과 같은 경우는 예측이 불가능하며 따라서 악화되지 않도록 미리 예방하는 것이 어렵습니다. 미리 예방하기 위해 지속적으로 단백질을 더 제한한다면 만성 영양결핍과 대사의 불균형 상태를 초래할 수 있으므로 단백질의 과다한 투여를 피하고, 단백질의 분해와 대사의 불균형이 초래될 수 있는 상황을 빨리 알 수 있도록 보호자는 지속적으로 교육을 받아야 합니다."
프라더 윌리 증후군식,비만으로 인한 합병증을 조절하기 위해 필요합니다.,"1. 보통의 비만아보다 더 강하게 열량을 제한합니다.2. 당뇨가 동반된 경우 당뇨 식사요법의 기준에 따릅니다.3. 고지혈증, 고혈압이 있을 경우 저열량 조리법을 이용한 음식을 주로 섭취하고, 싱겁게 먹습니다.4. 규칙적으로 운동합니다.","잡곡밥, 신선한 채소와 과일(당뇨가 있는 경우는 별도의 양 조절 필요), 해조류, 콩 및 두부류","사탕이나 초컬렛, 청량음료, 단 빵류 (케익 포함) 와 같이 단순당 또는 단순당이 포함된 음식, 치킨이나 도우넛, 팝콘 등 기름에 튀기거나 볶은 음식, 삼겹살, 갈비류, 소시지, 햄버거, 햄, 베이컨 등 고지방 식품은 최대한 먹지 않아야 합니다.",기름지지 않은 음식이라 하더라도 식욕만큼 배를 채우게 되면 체중이 쉽게 늘어나므로 전체 섭취량을 조절하는 것이 중요합니다.
폐렴식,증상의 진행 중 식사량 감소로 인한 체중감소와 체조직 소모를 방지하기 위하여 충분한 에너지와 단백질의 섭취가 매우 중요합니다.,"1. 과식보다는 간식과 함께 소량씩 자주 섭취합니다.2. 매끼 양질의 어육류나 두부, 계란등을 챙겨서 섭취합니다.3. 숨이 찰때는 부드러운 식품을 이용하여 합니다.4. 수분을 소량씩 자주 보충합니다.","부드러운 살코기, 생선, 요구르트, 다양한 색상의 과일이나 채소","튀김, 육류의 기름",잦은 가래 배출로 몸에 수분이 부족하기 쉬우므로 수시로 과일쥬스나 물 등으로 보충하도록 합니다.
간이식후식,간이식을 받은 환자에게 수술 후 생길 수 있는 부작용과 합병증을 최소화하기 위해 충분한 열량과 단백질 공급이 필요합니다.,"1. 이식 초기에는 회복을 위해 충분한 에너지, 단백질 반찬을 섭취합니다.2. 섭취량 부족시에는 열량 높은 간식을 곁들입니다.3. 수분을 충분히 섭취합니다.4. 이식 후 안정기에는 면역억제제로 인한 합병증(고지혈증, 고혈압, 고혈당 등) 예방을 위해 정상체중을 유지합니다.5. 적당량의 단백질 반찬을 섭취합니다.6. 지나치게 단 음식은 피합니다.7. 콜레스테롤과 동물성 지방이 많은 음식은 적게 섭취합니다.8. 평소보다 싱겁게 먹고, 가공 식품보다는 신선한 식품을 이용합니다.9. 민간요법을 철저히 제한합니다.","이식 초기 : 신선한 육류(살코기), 생선, 두부, 콩, 우유, 두유, 영양보충음료 등이식 후 안정기 : 적당량의 육류(살코기), 생선, 두부, 콩, 신선한 야채, 해조류 등","이식 후 안정기 : 라면, 자장면, 삼겹살, 베이컨, 장아찌, 젓갈, 생선알, 케이크, 곰국, 추어탕, 보신탕 등의 고단백 국물 음식",고칼륨혈증 발생 시 일시적으로 칼륨 함량 높은 음식의 제한이 필요할 수 있습니다.
간성혼수식,"고단백 식사, 변비, 탈수 등의 원인으로 간성 혼수가 유발될 수 있으므로 환자의 컨디션에 따라 적절한 영양 관리가 필요합니다.","1. 고기, 생선, 두부, 계란, 콩 등의 단백질 섭취량을 줄입니다. 혼수 정도에 따라 제한하며 호전됨에 따라 단백질 섭취량을 늘립니다. 단백질 음식을 늘릴 때 한번에 몰아서 먹지 말고 세 끼니에 걸쳐 소량씩 나누어 늘려 먹습니다. 육류보다는 콩류 단백질이 더 유용할 수 있습니다.2. 부족한 비타민 및 무기질 보충 및 변비 예방을 위해 채소와 과일을 충분하게 먹습니다.3. 부종 및 복수가 있는 경우, 싱겁게 먹어 염분 섭취를 줄입니다.4. 탈수 증세가 오지 않도록 권장량 정도의 식사 섭취를 유지합니다.5. 충분한 열량 제공을 위해 단순당 및 식물성 기름을 적절하게 이용합니다.","밥, 떡, 감자, 고구마 등의 곡류 음식, 과일, 야채","고기, 생선, 두부, 콩, 계란, 유제품 등의 고단백 식품",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화시킬 수 있으므로 주의합니다.
간경화식,"간경화 시 식사량 감소, 소화 및 흡수 기능 저하, 영양소 대사 변화, 영양 요구량 증가, 복수나 부종 등의 원인으로 영양 결핍이 발생될 수 있으므로 초기부터 식사 관리를 하는 것이 필요합니다.","1. 회복을 위해 충분한 칼로리 섭취가 필요하므로 당질과 지방을 통해 칼로리 섭취를 늘립니다. 식사량이 적을 시에는 감자, 고구마 , 과일, 주스 등의 간식을 자주 먹습니다.2. 고기, 생선, 두부, 계란 등의 단백질 반찬을 적절하게 먹습니다. 단, 간성혼수 시에는 섭취량을 줄여야 합니다.3. 부족한 비타민 및 무기질 보충을 위해 채소와 과일을 충분하게 먹습니다.4. 부종 및 복수가 있는 경우, 싱겁게 먹어 염분 섭취를 줄입니다.5. 금주합니다.","밥, 떡, 감자, 고구마 등 곡류 음식, 과일, 야채, 단백질 식품(살코기, 생선, 계란,두부, 콩 등)","절인 음식(김치, 젓갈, 장아찌, 자반류, 마른 반찬, 햄, 소시지 등), 국 국물 등 염분 많은 음식, 술",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화시킬 수 있으므로 주의합니다.
각기병식,비타민 B1(티아민) 섭취 부족으로 인해 생기는 질병으로 지나치게 백미 위주의 식사를 하거나 만성적으로 알코올을 과음할 때 발생하기 때문에 적절한 영양관리가 필요합니다.,"1. 비타민 B1(티아민)이 많은 식품을 섭취합니다.(돼지고기나 삼치, 넙치, 콩류 및 해바라기씨, 전곡, 감자류, 냉장육, 땅콩 등)2. 정상체중을 벗어나지 않도록 표준체중을 유지합니다.3. 도정을 한 백미보다는 현미를 먹는 것이 비타민 B1을 더 많이 섭취할 수 있습니다.4. 금주합니다.","돼지고기, 가금류, 계란, 생선, 콩류, 잡곡류, 감자, 아스파라거스, 브로콜리, 땅콩, 해바라기씨, 우유, 건포도 등","정제된 쌀(백미),주류(소주, 맥주, 막걸리 등)",장시간 가열 조리하면 비타민으로서의 기능을 잃게 되니 주의합니다.
